index,psnr
456,7.7927
457,7.8982
458,7.3288
459,7.5622
460,7.9142
461,7.7048
462,7.8615
463,8.0173
464,7.6775
465,7.3317
466,7.2977
467,7.2502
468,7.0908
469,6.4312
470,5.9708
471,5.8210
472,5.6241
473,5.7457
474,6.3167
475,6.7178
476,6.9256
477,6.7317
478,6.7099
479,6.5193
480,6.3084
481,7.2242
482,6.8217
483,6.4836
484,7.0063
485,7.3633
486,7.8910
487,7.9245
488,7.7704
489,5.3079
490,4.4971
491,5.2922
492,5.3063
493,3.6739
494,5.3320
495,5.3393
496,6.6285
497,5.3724
498,5.0885
499,6.4844
500,5.1089
501,5.0294
502,5.0082
503,5.7235
504,6.4495
505,6.4988
506,7.1493
507,8.0230
508,8.3421
509,6.7844
510,6.8086
511,4.8930
512,5.1940
513,5.1477
514,6.4725
515,10.7397
516,16.4838
517,16.4263
518,6.5349
519,6.2911
520,6.5029
521,7.3028
522,7.0614
523,4.3532
524,5.1984
525,10.3328
526,10.0194
527,6.4789
528,6.5975
529,6.7385
530,6.8223
531,6.7551
532,7.5998
533,7.2754
534,6.5213
535,6.3181
536,6.1223
537,5.5441
538,5.4886
539,5.6064
540,5.7271
541,5.6329
542,5.5593
543,5.4755
544,5.1891
545,4.6828
546,4.6523
547,4.8377
548,4.9726
549,4.9463
550,4.9194
551,4.9826
552,5.4579
553,6.4432
554,6.1223
555,7.8494
556,8.0461
557,8.4186
558,8.5474
559,7.7968
560,7.1859
561,7.5673
562,7.8530
563,7.7662
564,8.1058
565,7.9550
566,8.1988
567,8.0267
568,8.5070
569,8.4480
570,8.6220
571,8.7758
572,8.6692
573,8.5321
574,8.7977
575,8.6600
576,8.2952
577,8.1047
578,7.9757
579,7.9902
580,7.7321
581,7.9947
582,7.7113
583,8.0249
584,8.2014
585,8.0938
586,7.9575
587,8.0685
588,8.1871
589,8.6054
590,9.2164
591,9.1565
592,6.4727
593,6.4222
594,6.5094
595,7.4584
596,5.5465
597,3.6522
598,3.1902
599,4.1630
600,7.3040
601,7.7459
602,7.9007
603,8.0496
604,8.6327
605,8.8567
606,8.6730
607,8.5698
608,8.5616
609,7.4193
610,7.1778
611,6.9830
612,7.1983
613,7.5457
614,7.6467
615,7.7874
616,7.8487
617,7.8671
618,7.3767
619,7.8248
620,8.3269
621,8.0985
622,8.5413
623,8.9203
624,9.3240
625,9.1663
626,9.0497
627,8.6681
628,8.5115
629,3.8288
630,3.9793
631,3.5353
632,3.4155
633,2.7802
634,2.7277
635,2.7602
636,3.2657
637,3.5042
638,3.8571
639,4.0479
640,4.1480
641,4.0488
642,4.1251
643,3.9630
644,3.9540
645,3.9076
646,3.9026
647,4.0055
648,3.9551
649,3.7446
650,3.6809
651,3.3915
652,3.2486
653,3.5657
654,3.5475
655,4.1054
656,4.8626
657,4.9519
658,4.5196
659,4.0486
660,4.0631
661,3.4670
662,3.4272
663,3.8701
664,3.9684
665,3.8793
666,8.1370
667,8.4263
668,7.9581
669,7.2389
670,6.4158
671,6.0942
672,8.0396
673,7.7654
674,6.9919
675,7.0582
676,7.0842
677,6.0102
678,5.0859
679,5.6165
680,5.7862
681,5.5455
682,5.6488
683,6.0809
684,6.4142
685,8.0231
686,9.2815
687,8.5218
688,7.5929
689,6.8781
690,7.4134
691,7.9032
692,7.6867
693,8.3520
694,7.9182
695,7.9103
696,7.0849
697,7.1353
698,7.5666
699,7.6688
700,7.5687
701,7.4555
702,7.3237
703,7.5402
704,7.6523
705,8.5363
706,9.0845
707,9.8095
708,10.2284
709,10.4261
710,10.6375
711,11.1171
712,9.9960
713,7.6832
714,7.2671
715,9.6023
716,11.8386
717,12.3823
718,11.6406
719,10.5503
720,9.8764
721,10.5756
722,10.7465
723,11.1290
724,10.8426
725,10.0920
726,8.7933
727,8.0526
728,7.7186
729,7.7229
730,7.7822
731,8.4444
732,10.4378
733,9.9246
734,10.9777
735,14.0508
736,14.8249
737,6.8373
738,5.8984
739,5.7390
740,5.2190
741,5.2647
742,5.2971
743,4.6762
744,4.4121
745,4.3799
746,4.4644
747,3.6877
748,3.2061
749,3.3709
750,3.6016
751,3.9775
752,3.8744
753,3.6224
754,3.7303
755,5.4454
756,6.0599
757,5.1981
758,5.1829
759,5.2093
760,5.0189
761,5.1088
762,5.2970
763,5.1720
764,6.2675
765,6.6960
766,6.0484
767,4.3060
768,3.0831
769,3.6324
770,4.3185
771,4.1153
772,4.4015
773,4.7665
774,4.5369
775,3.9327
776,4.1578
777,5.3158
778,4.7284
779,5.1090
780,5.1431
781,5.0862
782,5.9082
783,5.5107
784,4.9779
785,4.8231
786,6.4725
787,6.3239
788,6.3769
789,5.5162
790,4.9371
791,4.8758
792,5.4660
793,6.2630
794,4.9488
795,4.1025
796,3.9982
797,3.0066
798,4.2055
799,5.4475
800,6.0264
801,5.4699
802,5.0148
803,5.1970
804,5.1559
805,5.2428
806,5.1966
807,5.3763
808,5.4780
809,5.2073
810,5.1753
811,4.8262
812,4.8403
813,5.9644
814,6.1408
815,6.4207
816,6.5571
817,6.8468
818,6.9595
819,6.9402
820,6.7054
821,6.5467
822,6.4587
823,6.5074
824,6.6655
825,6.9479
826,7.2028
827,7.4222
828,7.2756
829,6.8938
830,6.4779
831,5.8872
832,5.9757
833,6.5365
834,7.1338
835,7.6231
836,7.7777
837,7.4757
838,7.6876
839,7.2359
840,6.7603
841,6.4610
842,6.6275
843,6.7829
844,6.4796
845,6.3825
846,6.4480
847,6.3318
848,6.0660
849,6.6036
850,8.2421
851,4.8426
852,4.5730
853,4.2464
854,4.3603
855,4.7413
856,5.2896
857,5.4262
858,4.8865
859,4.4500
860,5.1319
861,6.9218
862,6.1029
863,6.8793
864,6.6266
865,6.8552
866,6.6625
867,6.4282
868,5.6051
869,5.2013
870,8.3366
871,9.2330
872,9.0677
873,8.1585
874,7.5450
875,6.4249
876,6.1700
877,6.0815
878,6.5706
879,7.1170
880,6.8751
881,6.3478
882,7.5697
883,7.0499
884,6.2283
885,5.7548
886,6.4404
887,6.9085
888,4.4123
889,4.4313
890,4.4085
891,4.3728
892,4.0960
893,4.0899
894,4.1429
895,3.9982
896,4.1288
897,4.0900
898,4.1737
899,4.0541
900,3.9427
901,4.0421
902,3.9124
903,3.7179
904,3.7951
905,3.8302
906,3.8305
907,3.8119
908,3.8458
909,3.7867
910,3.9211
911,4.2359
912,4.2549
913,4.1518
914,3.9807
915,3.8825
916,3.7601
917,3.6897
918,3.5470
919,3.5342
920,3.5656
921,3.6506
922,3.6812
923,3.6775
924,3.7801
925,6.6725
926,6.6996
927,6.4784
928,5.9931
929,5.6716
930,5.5475
931,5.6191
932,5.9009
933,6.0876
934,5.9980
935,5.7894
936,5.0663
937,4.3179
938,3.4699
939,2.9852
940,2.6074
941,2.5933
942,3.0782
943,4.4435
944,5.2008
945,6.3784
946,6.3670
947,5.3173
948,5.0631
949,4.9048
950,4.9193
951,5.2564
952,5.2755
953,5.3294
954,5.2135
955,5.1439
956,4.7216
957,4.2511
958,4.1247
959,4.5506
960,4.8728
961,5.3862
962,8.6856
963,8.4264
964,8.5413
965,8.6693
966,8.8230
967,8.8759
968,9.4213
969,9.3622
970,9.5996
971,9.4592
972,10.1129
973,9.0661
974,7.8091
975,6.6318
976,5.5434
977,5.5482
978,5.3425
979,4.7618
980,3.1757
981,4.5291
982,6.6540
983,7.4194
984,8.6703
985,9.6472
986,9.8641
987,10.1021
988,8.4437
989,8.7749
990,9.4573
991,9.3735
992,9.2042
993,9.1236
994,9.0473
995,8.0605
996,7.1784
997,6.1476
998,4.8123
999,8.6111
1000,7.8386
1001,6.4310
1002,5.8356
1003,5.8041
1004,7.1480
1005,6.4662
1006,5.9851
1007,5.6400
1008,5.4330
1009,6.5546
1010,6.5277
1011,6.6453
1012,6.6494
1013,7.0300
1014,7.2284
1015,7.0570
1016,6.8818
1017,6.5092
1018,5.7793
1019,4.5726
1020,4.4786
1021,3.9783
1022,4.0221
1023,5.0898
1024,6.3196
1025,6.9926
1026,7.4512
1027,7.6728
1028,6.7883
1029,6.0472
1030,5.6568
1031,5.8361
1032,6.2063
1033,6.7003
1034,7.0623
1035,7.4253
1036,9.6023
1037,9.6526
1038,9.0559
1039,7.3888
1040,7.8053
1041,6.6580
1042,5.9557
1043,6.0643
1044,6.0495
1045,8.3475
1046,9.5758
1047,7.2107
1048,8.8560
1049,11.9478
1050,14.8404
1051,11.6746
1052,8.7558
1053,6.5125
1054,5.8403
1055,6.8708
1056,8.2560
1057,7.7965
1058,7.6786
1059,8.8153
1060,8.8931
1061,8.1770
1062,7.2730
1063,8.7156
1064,7.3419
1065,7.2450
1066,7.4677
1067,6.6272
1068,7.1868
1069,7.6689
1070,10.3116
1071,12.2672
1072,12.5458
1073,7.9450
1074,8.2036
1075,8.3467
1076,7.8966
1077,7.5872
1078,7.4167
1079,6.8293
1080,6.8276
1081,6.7561
1082,5.2172
1083,4.8148
1084,5.5975
1085,5.4714
1086,5.5212
1087,5.3820
1088,5.6266
1089,5.9362
